T(°C),ε_app_C2(με),ε_app_C1(με)
10,7.7,-72.9
11,8.1,-72.9
12,9.6,-73.6
13,11.3,-71.0
14,12.8,-63.9
15,13.9,-56.7
16,14.8,-49.9
17,16.7,-42.9
18,16.7,-35.5
19,13.7,-29.9
20,13.2,-28.4
21,15.1,-23.9
22,16.4,-15.2
23,17.2,-7.7
24,18.2,-0.6
25,19.2,6.9
26,21.4,16.6
27,20.9,12.7
28,12.8,0.6
29,1.9,7.8
30,3.7,21.5
31,10.6,29.2
32,11.4,36.5
33,12.7,44.1
34,14.2,51.4
35,15.3,55.2
36,16.3,49.6
37,16.0,42.4
38,12.0,47.8
39,2.9,55.1
40,-1.4,59.2
41,2.5,63.9
42,4.2,65.5
43,3.8,65.6
44,4.0,65.8
45,2.2,65.1
46,-0.9,67.2
47,-3.3,73.7
48,-5.5,77.7
49,-7.9,76.2
50,-5.5,69.6
51,5.4,61.1
52,13.0,53.3
53,9.8,45.1
54,5.0,36.2
55,3.2,26.8
56,2.1,17.0
57,1.5,6.4
58,4.0,-3.6
59,11.3,-10.6
60,18.2,-19.9
61,19.8,-32.3
62,18.4,-43.7
63,17.1,-54.9
64,16.4,-66.5
65,16.2,-78.4
66,16.4,-90.6
67,17.1,-102.7
68,18.7,-114.9
69,19.8,-127.2
70,19.8,-139.3
